title,authors,year,doi,type,source,abstract,openalex_id,open_access
"Artificial Intelligence, AI literacy, Digital literacy, AI literacy scale","Celalettin ÇELEBİ, Fatih Yılmaz, Uğur Demir et al.","2023","https://doi.org/10.52911/itall.1401740","article","Öğretim Teknolojisi ve Hayat Boyu Öğrenme Dergisi - Instructional Technology and Lifelong Learning","The purpose of this research is to adapt the Artificial Intelligence Literacy Scale (AILS) developed by Wang et al. (2022) into Turkish and study its validity and reliability. The scale aims to measure the artificial intelligence literacy levels of non-expert adults. The research data were gathered from 402 participants, and the researchers did Confirmatory Factor Analysis (CFA) to test the validity of the adapted scale, and to test the reliability, they adopted Cronbach’s alpha technique. The adapted scale consists of 12 items and 4 factors, as is the case in the original version. CFA results indicate that X^2/df =1.82, RMSEA = 0.04, RMR = 0.03, NFI = 0.95, CFI = 0.98, GFI = 0.96 and AGFI = 0.94. Considering CFA results, it is concluded that the adapted scale is a good fit. As for reliability, as far as the factors are concerned, the internal consistency results are 0.72, 0.74, 0.76, and 0.72, respectively. Additionally, α=0.85 for the whole scale. Consideringly, the scale and its factors are adequately reliable, and the adapted scale can be used in Turkish culture.","https://openalex.org/W4390470654","yes"
"The impact of middle managers’ digital leadership on employee work engagement","Zhenli Li, Cuibai Yang, Zhuohang Yang et al.","2024","https://doi.org/10.3389/fpsyg.2024.1368442","article","Frontiers in Psychology","Background: In the rapidly evolving digital landscape, the role of middle managers in organizational structures and processes is increasingly pivotal. Positioned at the nexus of strategic directives and operational execution, they play an important role in driving digital transformation. This study discusses the under examined domain of middle managers' digital leadership and its impact on employee work engagement in the context of digital transformation. Design: Drawing on Social Exchange Theory, this study investigates the influence of middle managers' digital leadership on employee work engagement through the analysis of survey data from 559 respondents across 11 listed companies in Southwest China. It examines the roles of employee empowerment and affective commitment as pivotal mediating variables and investigates the moderating effect of emotional intelligence in these relationships. Research purposes: The study aims to elucidate the mechanisms by which middle managers' digital leadership fosters employee work engagement, highlighting the importance of emotional intelligence, empowerment, and affective commitment in this process. Findings: The study reveals that middle managers' digital leadership has a significant positive impact on employee work engagement. Employee empowerment and affective commitment serve as mediating factors in the relationship between middle managers' digital leadership and employee work engagement. Emotional intelligence moderates the effect of middle managers' digital leadership on employee empowerment. Meanwhile, emotional intelligence further moderates the chain mediating of employee empowerment and affective commitment between middle managers' digital leadership and employees' work engagement. Implications: This research offers valuable insights into the dynamics of leadership and engagement in the digital era, emphasizing the need for organizations to foster digital leadership capabilities in middle management. It provides practical implications for enhancing employee work engagement through strategic digital leadership, emphasizing the role of employee empowerment, affective commitment and emotional intelligence in adapting to digital transformation.","https://openalex.org/W4393258530","yes"
"Exploring a Structural Model of Teaching Enjoyment, Teacher Self-Efficacy, and Work Engagement","Yan Xiao, Jalil Fathi, Farnoosh Mohammaddokht","2022","https://doi.org/10.3389/fpsyg.2022.918488","article","Frontiers in Psychology","Due to the complexity of teaching, determining the variables influencing teachers’ work engagement is a rewarding research area. In line with this research agenda, the purpose of this study was to test a structural model of work engagement based on teacher self-efficacy and teaching enjoyment among English as a foreign language (EFL) teachers. For this purpose, 315 Iranian English instructors completed an online survey. Initially, the measurement models for the three latent variables were averred via conducting confirmatory factor analysis (CFA). Following that, structural equation modeling (SEM) was utilized to test the hypothesized model. SEM results showed that both self-efficacy and teaching enjoyment were the significant predictors of teachers’ work engagement, although teacher self-efficacy was a stronger predictor than teaching enjoyment. The findings might have notable implications for English teachers.","https://openalex.org/W4282982992","yes"
"Bibliometric analysis and systematic review of digital competence in education","Huiling Ma, Lilliati Ismail","2025","https://doi.org/10.1057/s41599-025-04401-1","article","Humanities and Social Sciences Communications","Abstract The ubiquity of digital technologies has profoundly transformed communication and education in the 21st century, making the development of digital competence essential for both teachers and students to be prepared for the digital age. However, existing reviews predominantly focus on the teachers’ perspective with a limited scope and methodology. This literature review combines bibliometric analysis and systematic literature review to provide a comprehensive analysis of existing research. Bibliometric analysis evaluates performance and science mapping to identify influential journals, countries, and authors while visualizing trends in the field. Content analysis identifies five major themes: (1) digital competence levels, (2) factors and variables, (3) digital competence and teacher education, (4) students’ digital competence, and (5) digital competence and academic performance. The study also outlines seven future research directions: (1) integrating digital competence into curricula, (2) initial training in digital competence for future professions, (3) subject-specific development, (4) expanding research samples to include younger students, (5) addressing limitations of self-assessment, (6) understanding the needs of teachers and students, and (7) strengthening administrative support. Overall, the review highlights challenges in measuring digital competence and underscores the need for its integration into education systems, offering insights into opportunities for future research.","https://openalex.org/W4407360484","yes"
"Health literacy, digital health literacy and the implementation of digital health technologies in cancer care: the need for a strategic approach","Emma Kemp, Joshua Trigg, Lisa Beatty et al.","2020","https://doi.org/10.1002/hpja.387","article","Health Promotion Journal of Australia","ISSUE ADDRESSED: Digital health technologies can potentially reduce health disparities in cancer care. However, the benefits of digital health technology depend partly on users' digital health literacy, that is, ""capabilities and resources required for individuals to use and benefit from digital health resources,"" which combines health and digital literacy. We examined issues for digital health technology implementation in cancer care regarding digital health literacy, via stakeholder consultation. METHODS: Consumers, health care professionals, researchers, developers, nongovernment and government/policy stakeholders (N = 51) participated in focus groups/interviews discussing barriers, enablers, needs and opportunities for digital health implementation in cancer care. Researchers applied framework analysis to identify themes of digital health literacy in the context of disparity and inclusion. RESULTS: Limited digital and traditional health literacy were identified as barriers to digital technology engagement, with a range of difficulties identified for older, younger and socio-economically or geographically disadvantaged groups. Digital health technology was a potential enabler of health care access and literacy, affording opportunities to increase reach and engagement. Education combined with targeted design and implementation were identified means of addressing health and digital literacy to effectively implement digital health in cancer care. CONCLUSIONS: Implementing digital health in cancer care must address the variability of digital health literacy in recipients, including groups living with disadvantage and older and younger people, in order to be effective. SO WHAT?: If cancer outcome disparity is to be reduced via digital health technologies, they must be implemented strategically to address digital health literacy needs. Health policy should reflect this approach.","https://openalex.org/W3042911660","yes"
"Soft skills and their importance in the labour market under the conditions of Industry 5.0","Michaela Poláková, Juliet Horváthová Suleimanová, Peter Madzík et al.","2023","https://doi.org/10.1016/j.heliyon.2023.e18670","article","Heliyon","The profound ramifications stemming from a multitude of global events and the ongoing progression of the fourth and fifth industrial revolutions necessitate a broadening of skillsets beyond the mere acquisition of technical and digital proficiencies. The practical, intelligent, responsible, and sustainable utilisation of technologies relies exclusively on human agency. Such employment necessitates a type of cognitive processing that machines find arduous, emphasising the importance of aligning human reasoning with machine intelligence. The significance of digital skills is widely acknowledged within the framework of cultivating suitable sets of employee abilities. Nonetheless, it is imperative to underscore the importance of human skills as they remain irreplaceable by robots. Furthermore, the labour market acknowledges and rewards these skills owing to their capacity to confer flexibility and adaptability, thereby embodying the competing attributes of the future workforce. In light of the prevailing circumstances outlined in Industry 5.0-characterised by an amplified utilisation of technologies and diminished interpersonal interactions resulting from the pervasive impact of the Covid-19 pandemic-this study seeks to provide a theoretical description of the significance of soft skills and their categorisation, while investigating the practical demand for such skills. The dataset used in this study encompasses information pertaining to skill prerequisites extracted from job posts published on a job portal over five years, encompassing 19 000 distinct organisations. The findings of our study revealed that within technologically driven domains, there is a discernible demand for soft skills, such as critical and analytical thinking, problem-solving, communication skills, and creativity with flexibility. Furthermore, our results indicate that individuals must possess balanced proficiency in both soft and digital skills to thrive in a future characterised by technological advancements.","https://openalex.org/W4385323463","yes"
"Do an Organization’s Digital Transformation and Employees’ Digital Competence Catalyze the Use of Telepresence?","Inho Hwang, Hoshik Shim, Woojin Lee","2022","https://doi.org/10.3390/su14148604","article","Sustainability","Rapid changes in the external environment are increasing interest in digital transformation. In particular, the recent breakout of infectious diseases such as COVID-19 has required certain companies to restrict physical exchanges among their members. As a result, companies must strive to maintain productivity and performance by supporting business exchange activities through online platforms. A metaverse technology that supports individuals’ exchange activities in a virtual space based on 3D technology has recently attracted attention from companies. However, as previous studies related to the metaverse have focused on strengthening personalized content and services, additional research is needed in order to understand the metaverse’s effects at the organizational level. This study aims to present the conditions for strengthening the motivation to use the metaverse from the perspective of organizations and members who have applied the metaverse in the workplace on a trial basis. In this study, an online questionnaire was conducted targeting workers of organizations with a history of using the metaverse for business, and the hypotheses were tested using 304 valid samples. As a result of the analysis, it was found that telepresence, a characteristic of the metaverse, influences the intention to continue using the metaverse through informativeness, interactivity, and enjoyment. In addition, the shared goal of the organization’s digital transformation moderated the influence relationship between telepresence and an individual’s motivations, and an individual’s digital competence moderated the influence relationship between motivation and the intention of continuous use. This study suggests a digital transformation strategy for an organization in terms of suggesting ways to strengthen the motivations for the use of the metaverse of employees in the organization.","https://openalex.org/W4285595340","yes"
"Remote working and work performance during the COVID-19 pandemic: the role of remote work satisfaction, digital literacy, and cyberslacking","Alireza Khorakian, Mostafa Jahangir, Somayeh Rahi et al.","2023","https://doi.org/10.1080/0144929x.2023.2235026","article","Behaviour and Information Technology","Social distancing policies ushered in by the COVID-19 pandemic have altered working conditions and created new job demands. This study adopted the Job Demands−Resources (JD−R) model to investigate the relationship between demands and strains (i.e. social isolation, remote work stress, and fear of COVID-19) and remote work satisfaction and remote work performance. Additionally, the study sought to identify the moderating roles of employees’ digital literacy and cyberslacking in the relationship between remote work satisfaction and remote work performance. After analysing data collected from a sample of 340 Iranian remote workers, results showed social isolation, remote work stress, and fear of COVID-19 related to remote work satisfaction negatively and decrease remote work performance through the mediation of remote work satisfaction. Moreover, digital literacy and cyberslacking moderated the relationship between remote work satisfaction and remote work performance during the COVID-19 pandemic. By linking job demands and strains, psychological states, and employee output, this research notably contributes to the literature on remote working during the COVID-19 pandemic.","https://openalex.org/W4385199503","no"
"Teachers’ attitudes towards chatbots in education: a technology acceptance model approach considering the effect of social language, bot proactiveness, and users’ characteristics","Raquel Chocarro, Mónica Cortiñas, Gustavo Marcos‐Matás","2021","https://doi.org/10.1080/03055698.2020.1850426","article","Educational Studies","The appearance of Artificial Intelligence implementations, such as text-based virtual assistants (chatbots) in education is relatively new. These implementations can be useful for helping teachers and students to solve both educational questions and routine tasks. This paper examines the factors that explain teachers’ acceptance of chatbots through the dimensions of the Technology Acceptance Model (perceived usefulness and perceived ease of use), its conversational design (use of social language and proactiveness), and the teachers’ age and digital skills. The data collection process included a pre-test and an online survey with four different types of chatbots. We analyse 225 responses of primary and secondary education teachers. The results show that the perceived easiness and perceived usefulness leads to greater acceptance of chatbots. As for the chatbots’ features, formal language by a chatbot leads to a higher intention of using them. These results can help in chatbot design and communication decisions, improving the acceptance of the educational community.","https://openalex.org/W3126219458","yes"
"Teachers’ Emotional Intelligence, Burnout, Work Engagement, and Self-Efficacy during COVID-19 Lockdown","Alessandro Geraci, Laura Di Domenico, Cristiano Inguglia et al.","2023","https://doi.org/10.3390/bs13040296","article","Behavioral Sciences","Teachers’ psychological well-being is a crucial aspect that influences learning in a classroom climate. The aim of the study was to investigate teachers’ emotional intelligence, burnout, work engagement, and self-efficacy in times of remote teaching during COVID-19 lockdown. A sample of 65 teachers (Mage = 50.49), from early childhood through lower secondary education, were recruited during a period of school closure to answer self-report questionnaires and other measures assessing study variables. Results showed that during the COVID-19 pandemic, teachers reported higher levels of burnout and lower levels of self-esteem due to multiple challenges related to remote teaching and the growing sense of insecurity regarding health safety in the school environment. However, the negative effects of COVID-19 on teachers’ self-efficacy, work engagement, and burnout varied according to their own levels of emotional intelligence. These results demonstrate that emotional intelligence may support teachers in facing these challenges.","https://openalex.org/W4362452049","yes"
"Development of digital competence of teachers in vocational education institutions","Oleksandr Diachuk","2024","https://doi.org/10.69587/ss/1.2024.77","article","Scientia et societus","Teachers’ digital competence is key to preparing students for the digital age. It is not only computer skills, but also the creation of interactive learning, assessment and collaboration. The aim of the study was to assess the level of information and communication competence of vocational teachers. A comparative analysis of tools for assessing teachers’ media literacy is made. An overview of global and national trends in the development of digital competence of teachers, as well as the development and implementation of digital literacy programmes, is provided. Attention is paid to the role of the teacher as a facilitator, the problems of network security and the use of artificial intelligence (AI) in education. According to the results, the level of digital competence among teachers varied: 43.3% have a high level, 50% have an average level, and 6.7% have a low level. The main problems identified were insufficient knowledge of specialized software, lack of systematic training and technical support, and low motivation due to workload and stress. As part of the development of a programme to improve digital competence, the need to introduce compulsory courses in digital literacy, provide the necessary equipment and technical support, reduce the workload of teachers, and monitor successful international experience, such as regular courses and trainings, online courses, practical classes, project work, technical support and mentoring programmes; create communities for sharing experiences and a reward system to motivate teachers; organize effective feedback; and develop a system of teacher training and mentoring. The implementation of these recommendations is intended to help improve digital literacy and enhance the quality of education. The findings of the study can be used by the management of educational institutions to develop and implement programmes to improve the digital competence of teachers, which will improve the quality of the educational process and prepare students for the requirements of the modern digital society. These results may also be useful for state educational authorities in developing national standards and policies on digital literacy of teachers","https://openalex.org/W4401428726","yes"
"Primary School Physical Education at the Time of the COVID-19 Pandemic: Could Online Teaching Undermine Teachers’ Self-Efficacy and Work Engagement?","Erica Gobbi, Maurizio Bertollo, Alessandra Colangelo et al.","2021","https://doi.org/10.3390/su13179830","article","Sustainability","This study aimed to evaluate whether primary school classroom teachers reported changes in physical education teaching self-efficacy (SE-PE) and work engagement (WE) during the first COVID-19 wave. A total of 622 classroom teachers filled in an online questionnaire on SE-PE and WE, referring to before and during the lockdown, and on perceived digital competence. While controlling for perceived digital competence, a mixed between-within Repeated Measures Multivariate Analysis of Covariance (RM-MANCOVA) was performed, using a factorial design with two time categories (before vs. during the lockdown) and three age categories (≤40 vs. 41–50 vs. ≥51 years). The RM-MANCOVA revealed that perceived digital competence significantly adjusted teachers’ SE-PE and WE values (p &lt; 0.001). The analysis yielded a significant multivariate main effect by time (p &lt; 0.001) and by time × age categories (p = 0.001). Follow-up univariate ANCOVA showed significant differences by time in teachers’ SE-PE (p &lt; 0.001) and WE (p &lt; 0.001), with a reduction in both values from before to during the lockdown. A Bonferroni post hoc pairwise comparison showed teachers’ SE-PE significantly decreased in all age categories (p &lt; 0.001). The present findings confirm the importance of promoting SE-PE among primary school teachers, regardless of the crisis due to the COVID-19 pandemic. Teachers’ self-efficacy and WE are essential to master the challenges of PE teaching.","https://openalex.org/W3197582694","yes"
"Digital workplace technology intensity: qualitative insights on employee wellbeing impacts of digital workplace job demands","Elizabeth Marsh, Elvira Pérez Vallejos, Alexa Spence","2024","https://doi.org/10.3389/forgp.2024.1392997","article","Frontiers in Organizational Psychology","Introduction Digital workplace technologies are powerful enablers in modern organizations but can also threaten employee wellbeing. Drawing on the Job Demands-Resources (JD-R) model, this study explores digital workplace job demands, including hyperconnectivity and overload, and their association with health impairment. Methods Using a qualitative approach, semi-structured interviews were conducted with 14 employees to capture their experiences of these phenomena. A Critical Realist Reflexive Thematic Analysis was employed to investigate tendencies among digital workers and to draw theoretical links that might reveal underlying mechanisms. Results Five overarching themes were identified: hyperconnectivity, techno-overwhelm, digital workplace hassles, Fear of Missing Out, and techno-strain. A connecting thread between these themes is the new concept we label Digital Workplace Technology Intensity, mirroring the dynamics of the existing construct of work intensity. Discussion The findings extend JD-R theory by highlighting the wellbeing challenges posed by digital workplace job demands. They emphasize the need for organizations to address the mental and physical health ramifications of the dark side of digital working.","https://openalex.org/W4405479793","yes"
"Digital Skills To Improve Work Performance","Mila Sartika, Sih Darmi Astuti, Amalia Nur Chasanah et al.","2023","https://doi.org/10.56696/ijamer.v1i2.14","article","International Journal Of Accounting Management And Economics Research","Workers in the manufacturing sector face the need to acquire digital skills to improve work efficiency and productivity. However, the rapid and intense spread of technology has also caused technostress and the phenomenon where the stress associated with the use of technology can disrupt the work performance This study uses questionnaires in data collection. The number of samples is 102. The variables used in this study are Digital Skill and Technostress as independent variables and Employee Performance variables as dependent variables. Data processing techniques using Smart PLS. Digital skills and technostress have a significant positive effect on employee performance. This research underscores the importance of digital skills and the potential impact of technostress on employee performance. Organizations should prioritize digital skill development initiatives and consider strategies to mitigate technostress among employees.","https://openalex.org/W4390956759","yes"
"Examination of Higher Education Teachers’ Self-Perception of Digital Competence, Self-Efficacy, and Facilitating Conditions: An Empirical Study in the Context of China","Zhaorui Wang, Zuwang Chu","2023","https://doi.org/10.3390/su151410945","article","Sustainability","In the digital age, it is necessary for higher education teachers to improve their digital competence to face the challenges of the advancement of technology. Because there are few studies on the digital competence of higher education teachers in the context of Asia, the aim of this study was to describe Chinese higher education teachers’ self-perceptions of digital competence and investigate the effects of self-efficacy and facilitating conditions and how they predict teachers’ digital competence. For this purpose, a quantitative methodology was used. A final sample of 525 in-service higher education teachers from China completed the questionnaire. The data were analyzed using descriptive analysis, inferential analysis, and latent variable path analysis. The results indicate, first, that teachers’ general perception of digital competence was at a high level, and of the seven competence areas, values, ethics, and security, digital resources, and continuing professional development areas ranked among the top four, respectively, based on their means. Significant differences were observed in the digital competence of teachers with regard to different levels of education, disciplines, and institutional categories. Second, according to the results of structural equation modeling, facilitating conditions were positively and significantly correlated with teachers’ self-efficacy and digital competence. In addition, self-efficacy exerted a significantly positive impact on teachers’ digital competence. Finally, self-efficacy was found to mediate the relationship between facilitating conditions and teachers’ digital competence. Implications are suggested for developing teachers’ digital competence according to the findings of this study.","https://openalex.org/W4384131173","yes"
